,title,year,duration,rating
223, The Best Years of Our Lives,1946,170,8.1
224, The Exorcist,1973,122,8.1
225, Jai Bhim,2021,164,8.7
226, Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1
227, Rush,2013,123,8.1
228, Network,1976,121,8.1
229, Stand by Me,1986,89,8.1
230, The Wizard of Oz,1939,102,8.1
231, The Incredibles,2004,115,8.0
232, Hachi: A Dog's Tale,2009,93,8.1
233, My Father and My Son,2005,112,8.2
234, The Handmaiden,2016,145,8.1
235, Into the Wild,2007,148,8.1
236, The Sound of Music,1965,172,8.1
237, The Battle of Algiers,1966,121,8.1
238, The Grapes of Wrath,1940,129,8.1
239, To Be or Not to Be,1942,99,8.1
240, Groundhog Day,1993,101,8.0
241, Amores Perros,2000,154,8.1
242, Rebecca,1940,130,8.1
243, Cool Hand Luke,1967,127,8.1
244, The Iron Giant,1999,86,8.1
245, The Help,2011,146,8.1
246, It Happened One Night,1934,105,8.1
247, Aladdin,1992,90,8.0
248, Dances with Wolves,1990,181,8.0
249," Paris, Texas",1984,145,8.1
