title,year,duration,rating
7. Ben-Hur,1959,3h 32m,8.1 (253K)
8. Barry Lyndon,1975,3h 5m,8.1 (182K)
9. Gone Girl,2014,2h 29m,8.1 (1.1M)
0. Hacksaw Ridge,2016,2h 19m,8.1 (591K)
1. The Gold Rush,1925,1h 35m,8.1 (118K)
2. Memories of Murder,2003,2h 12m,8.1 (215K)
3. In the Name of the Father,1993,2h 13m,8.1 (186K)
4. Dead Poets Society,1989,2h 8m,8.1 (543K)
5. On the Waterfront,1954,1h 48m,8.1 (164K)
6. The General,1926,1h 18m,8.1 (98K)
7. The Deer Hunter,1978,3h 3m,8.1 (361K)
8. Wild Tales,2014,2h 2m,8.1 (215K)
9. Mad Max: Fury Road,2015,2h,8.1 (1.1M)
"0. Monsters, Inc.",2001,1h 32m,8.1 (975K)
1. Sherlock Jr.,1924,45m,8.2 (57K)
2. The Third Man,1949,1h 33m,8.1 (181K)
3. Wild Strawberries,1957,1h 31m,8.1 (115K)
4. The Wages of Fear,1953,2h 11m,8.2 (66K)
5. Jaws,1975,2h 4m,8.1 (657K)
6. How to Train Your Dragon,2010,1h 38m,8.1 (797K)
7. Mary and Max,2009,1h 32m,8.1 (186K)
8. Mr. Smith Goes to Washington,1939,2h 9m,8.1 (121K)
9. Ford v Ferrari,2019,2h 32m,8.1 (466K)
0. Ratatouille,2007,1h 51m,8.1 (820K)
1. The Big Lebowski,1998,1h 57m,8.1 (858K)
2. The Seventh Seal,1957,1h 36m,8.1 (198K)
3. Room,2015,1h 58m,8.1 (449K)
4. Tokyo Story,1953,2h 16m,8.1 (68K)
5. Rocky,1976,2h,8.1 (626K)
6. Logan,2017,2h 17m,8.1 (827K)
7. Spotlight,2015,2h 9m,8.1 (501K)
8. Hotel Rwanda,2004,2h 1m,8.1 (371K)
9. Platoon,1986,2h,8.1 (438K)
0. The Terminator,1984,1h 47m,8.1 (921K)
1. The Passion of Joan of Arc,1928,1h 54m,8.1 (60K)
2. Before Sunset,2004,1h 20m,8.1 (287K)
3. La haine,1995,1h 38m,8.1 (195K)
4. The Best Years of Our Lives,1946,2h 50m,8.1 (70K)
5. The Exorcist,1973,2h 2m,8.1 (453K)
6. Jai Bhim,2021,2h 44m,8.7 (217K)
